 ,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
16 May 2023,"বাণিজ্যমন্ত্রী বলেছেন, কিছু অসৎ ব্যবসায়ী বেশি দরে তেল-চিনি বিক্রি করছেন—এই ব্যবসায়ীদের বিরুদ্ধে শাস্তিমূলক ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?",7107,4,95,1
15 May 2023,"সব জায়গায় কৃচ্ছ্রসাধন দরকার উল্লেখ করে পরিকল্পনামন্ত্রী এম এ মান্নান বলেছেন, বড় কর্মকর্তার (অফিসার) বড় গাড়ি, বড় বাড়ি—এসব জায়গায় বদল আনতে হবে। এই পরিবর্তন হবে বলে আপনি কি মনে করেন?",6672,6,93,1
14 May 2023,"নিত্যপণ্যের দাম বাড়ার ক্ষেত্রে কিছু ব্যবসায়ীও সুযোগ নিচ্ছেন, তাঁদের সামাল দিতে আমরা সর্বাত্মক চেষ্টা করছি— বাণিজ্যমন্ত্রী টিপু মুনশির এই কথায় আপনি কি সন্তুষ্ট?",6087,3,97,0
13 May 2023,"বিএনপিকে নির্বাচনে আসার আহ্বান জানিয়ে আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের বলেছেন, ‘সেইফ এক্সিট’ কারা নেবে, জনগণই তা নির্ধারণ করবে। আপনি কি তাঁর এই বক্তব্যের সঙ্গে একমত?",6830,9,89,2
12 May 2023,হবিগঞ্জের সাতছড়ি জাতীয় উদ্যানে আইন ভেঙে পাকা স্থাপনা নির্মাণে জড়িতদের যথাযথ শাস্তি নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,5698,4,95,1
11 May 2023,বাজারে তদারকি বাড়ালে সরকার নির্ধারিত দামে চিনি বিক্রি হবে বলে আপনি কি মনে করেন?,3052,13,86,1
10 May 2023,রাজধানীর কল্যাণপুর জলাধারের বেদখলে থাকা জায়গা যেকোনো মূল্যে উদ্ধার করা হবে—মেয়র আতিকুল ইসলামের এ বক্তব্যে আপনার আস্থা আছে কি?,4639,48,50,2
9 May 2023,বিভিন্ন স্থানে প্রশাসনের বেঁধে দেওয়া সময় অনুযায়ী গাছ থেকে আম পাড়া নিশ্চিত করা সম্ভব হবে বলে মনে করেন কি?,3754,7,92,1
8 May 2023,গভীর রাতে ধানমন্ডির সাতমসজিদ সড়কে গাছ কেটে ফেলা নাগরিকদের কাছে জবাবদিহি না থাকার ফল—গাছ রক্ষার দাবিতে আন্দোলনরত ব্যক্তিদের এ অভিযোগের সঙ্গে আপনি কি একমত?,5303,96,3,1
7 May 2023,"পাচার করা টাকা কেউ ফেরত আনেনি, তাই আইনের প্রয়োগ বাড়িয়ে বিদেশে টাকা পাচার রোধ করা উচিত—সিপিডির বিশেষ ফেলো মোস্তাফিজুর রহমানের এই পরামর্শ অনুযায়ী কাজ হবে বলে আপনি কি মনে করেন?",4528,8,91,1
6 May 2023,পাঁচ সিটি করপোরেশনের নির্বাচনের পরিবেশ নিজেদের নিয়ন্ত্রণে রাখতে এবার আগেভাগেই তৎপরতা শুরু করেছে নির্বাচন কমিশন (ইসি)। তাদের এ তৎপরতা শেষ পর্যন্ত কার্যকর হবে বলে আপনি কি মনে করেন?,3583,6,93,1
5 May 2023,"বাংলাদেশে ভূমিকম্পের ঝুঁকি মোকাবিলার বেশির ভাগ সিদ্ধান্ত ও উদ্যোগ কাগজে-কলমে সীমাবদ্ধ রয়েছে, বাস্তবে গুরুত্ব পাচ্ছে কম—ভূতত্ত্বের অধ্যাপক সৈয়দ হুমায়ুন আখতারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",3325,99,1,0
4 May 2023,যেকোনো দেশের দুর্নীতিবাজ ব্যক্তিদের কালো তালিকাভুক্ত করে ইউরোপীয় ইউনিয়নে নিষিদ্ধ করা হচ্ছে। এতে দেশে দেশে দুর্নীতি কমবে বলে আপনি কি মনে করেন?,2986,29,69,2
